Position (mm) Run #1	Light Intensity (%) Run #1
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
0.00	0.5
-0.01	0.5
-0.02	0.5
-0.06	0.5
-0.12	0.5
-0.19	0.5
-0.25	0.5
-0.32	0.5
-0.37	0.5
-0.41	0.5
-0.43	0.5
-0.45	0.5
-0.49	0.5
-0.55	0.5
-0.65	0.5
-0.74	0.5
-0.87	0.5
-1.01	0.5
-1.16	0.5
-1.31	0.4
-1.45	0.5
-1.56	0.5
-1.64	0.5
-1.70	0.5
-1.74	0.5
-1.75	0.5
-1.77	0.5
-1.78	0.5
-1.81	0.5
-1.86	0.5
-1.91	0.5
-1.98	0.5
-2.06	0.5
-2.13	0.5
-2.20	0.6
-2.25	0.6
-2.30	0.6
-2.32	0.6
-2.34	0.6
-2.35	0.6
-2.36	0.6
-2.39	0.6
-2.42	0.6
-2.46	0.6
-2.51	0.6
-2.56	0.6
-2.61	0.6
-2.64	0.6
-2.68	0.6
-2.71	0.6
-2.73	0.6
-2.76	0.6
-2.78	0.5
-2.81	0.5
-2.84	0.5
-2.87	0.5
-2.90	0.5
-2.94	0.5
-2.97	0.5
-3.00	0.5
-3.04	0.5
-3.06	0.5
-3.09	0.5
-3.11	0.5
-3.13	0.5
-3.14	0.5
-3.15	0.5
-3.16	0.5
-3.17	0.5
-3.19	0.5
-3.22	0.5
-3.27	0.5
-3.31	0.5
-3.36	0.5
-3.41	0.5
-3.45	0.5
-3.50	0.5
-3.53	0.5
-3.57	0.5
-3.60	0.5
-3.63	0.5
-3.66	0.5
-3.69	0.5
-3.72	0.5
-3.76	0.5
-3.80	0.5
-3.84	0.5
-3.88	0.5
-3.91	0.5
-3.94	0.5
-3.95	0.5
-3.96	0.5
-3.96	0.5
-3.96	0.5
-3.96	0.5
-3.96	0.5
-3.96	0.5
-3.96	0.5
-3.96	0.5
-3.97	0.5
-3.98	0.5
-3.99	0.5
-4.00	0.5
-4.02	0.5
-4.04	0.5
-4.07	0.5
-4.11	0.5
-4.15	0.5
-4.19	0.5
-4.23	0.5
-4.27	0.5
-4.31	0.5
-4.34	0.5
-4.38	0.5
-4.42	0.5
-4.46	0.5
-4.51	0.5
-4.56	0.5
-4.61	0.5
-4.66	0.5
-4.72	0.5
-4.77	0.5
-4.83	0.5
-4.88	0.5
-4.94	0.5
-4.99	0.5
-5.03	0.5
-5.07	0.5
-5.11	0.5
-5.13	0.5
-5.15	0.5
-5.17	0.5
-5.18	0.5
-5.20	0.5
-5.23	0.5
-5.26	0.5
-5.30	0.5
-5.35	0.5
-5.40	0.5
-5.45	0.5
-5.51	0.5
-5.55	0.5
-5.60	0.5
-5.63	0.5
-5.66	0.5
-5.70	0.5
-5.75	0.5
-5.81	0.5
-5.86	0.5
-5.92	0.5
-5.97	0.5
-6.01	0.5
-6.05	0.5
-6.08	0.5
-6.11	0.5
-6.13	0.5
-6.15	0.5
-6.16	0.5
-6.19	0.5
-6.21	0.5
-6.23	0.5
-6.26	0.5
-6.29	0.5
-6.33	0.5
-6.37	0.5
-6.41	0.5
-6.45	0.5
-6.49	0.5
-6.53	0.5
-6.59	0.5
-6.64	0.5
-6.71	0.5
-6.77	0.5
-6.83	0.5
-6.88	0.5
-6.93	0.5
-6.98	0.5
-7.02	0.5
-7.06	0.5
-7.10	0.5
-7.14	0.5
-7.19	0.5
-7.23	0.5
-7.27	0.5
-7.31	0.5
-7.34	0.5
-7.38	0.5
-7.40	0.5
-7.43	0.5
-7.46	0.5
-7.49	0.5
-7.51	0.5
-7.54	0.5
-7.56	0.5
-7.59	0.5
-7.62	0.5
-7.66	0.5
-7.69	0.5
-7.72	0.5
-7.76	0.5
-7.80	0.5
-7.83	0.5
-7.87	0.5
-7.90	0.5
-7.93	0.5
-7.95	0.5
-7.98	0.5
-8.00	0.5
-8.03	0.5
-8.05	0.5
-8.08	0.5
-8.10	0.5
-8.13	0.5
-8.16	0.5
-8.18	0.5
-8.21	0.5
-8.24	0.5
-8.27	0.5
-8.30	0.5
-8.33	0.5
-8.37	0.5
-8.41	0.5
-8.45	0.5
-8.50	0.5
-8.54	0.5
-8.57	0.5
-8.61	0.5
-8.63	0.5
-8.66	0.5
-8.69	0.4
-8.71	0.4
-8.75	0.5
-8.78	0.4
-8.82	0.4
-8.86	0.4
-8.91	0.5
-8.95	0.5
-9.00	0.5
-9.05	0.5
-9.09	0.5
-9.13	0.5
-9.18	0.5
-9.22	0.5
-9.26	0.5
-9.31	0.5
-9.35	0.5
-9.40	0.5
-9.45	0.5
-9.51	0.5
-9.57	0.5
-9.64	0.5
-9.71	0.5
-9.79	0.5
-9.87	0.5
-9.95	0.5
-10.03	0.5
-10.11	0.5
-10.18	0.5
-10.25	0.5
-10.31	0.5
-10.37	0.5
-10.41	0.5
-10.45	0.5
-10.49	0.5
-10.51	0.5
-10.54	0.5
-10.56	0.4
-10.59	0.5
-10.61	0.5
-10.64	0.5
-10.67	0.5
-10.71	0.5
-10.74	0.5
-10.77	0.5
-10.81	0.5
-10.84	0.5
-10.89	0.5
-10.94	0.5
-10.99	0.5
-11.05	0.5
-11.10	0.5
-11.15	0.5
-11.20	0.5
-11.24	0.5
-11.27	0.5
-11.31	0.5
-11.35	0.5
-11.39	0.5
-11.42	0.5
-11.44	0.5
-11.47	0.5
-11.49	0.5
-11.52	0.5
-11.54	0.5
-11.56	0.5
-11.58	0.5
-11.61	0.4
-11.63	0.5
-11.66	0.5
-11.69	0.5
-11.71	0.5
-11.74	0.5
-11.76	0.5
-11.78	0.5
-11.80	0.5
-11.81	0.5
-11.83	0.5
-11.85	0.5
-11.88	0.5
-11.91	0.5
-11.94	0.5
-11.98	0.5
-12.01	0.5
-12.04	0.5
-12.08	0.5
-12.11	0.5
-12.15	0.5
-12.18	0.5
-12.21	0.5
-12.25	0.5
-12.28	0.5
-12.31	0.5
-12.34	0.5
-12.37	0.5
-12.41	0.5
-12.45	0.5
-12.49	0.5
-12.55	0.5
-12.60	0.5
-12.65	0.5
-12.70	0.5
-12.74	0.5
-12.78	0.5
-12.82	0.5
-12.85	0.5
-12.88	0.5
-12.91	0.5
-12.95	0.5
-12.99	0.5
-13.02	0.5
-13.05	0.5
-13.08	0.5
-13.10	0.5
-13.12	0.5
-13.14	0.5
-13.17	0.5
-13.19	0.5
-13.22	0.5
-13.26	0.5
-13.30	0.5
-13.34	0.5
-13.38	0.5
-13.41	0.5
-13.44	0.5
-13.48	0.5
-13.53	0.5
-13.58	0.5
-13.62	0.5
-13.66	0.5
-13.70	0.5
-13.73	0.5
-13.77	0.5
-13.81	0.5
-13.85	0.5
-13.89	0.5
-13.94	0.5
-13.98	0.5
-14.03	0.5
-14.07	0.5
-14.12	0.5
-14.16	0.5
-14.20	0.5
-14.25	0.5
-14.29	0.4
-14.34	0.5
-14.39	0.5
-14.44	0.5
-14.49	0.5
-14.53	0.5
-14.58	0.5
-14.62	0.5
-14.67	0.5
-14.71	0.5
-14.75	0.5
-14.78	0.5
-14.82	0.5
-14.85	0.5
-14.89	0.5
-14.93	0.5
-14.97	0.5
-15.02	0.5
-15.07	0.5
-15.12	0.5
-15.16	0.5
-15.21	0.5
-15.26	0.5
-15.30	0.5
-15.34	0.5
-15.37	0.5
-15.41	0.5
-15.44	0.5
-15.47	0.5
-15.50	0.5
-15.52	0.5
-15.54	0.5
-15.56	0.5
-15.57	0.5
-15.59	0.5
-15.61	0.5
-15.64	0.5
-15.66	0.5
-15.70	0.5
-15.73	0.5
-15.76	0.5
-15.79	0.5
-15.81	0.5
-15.83	0.5
-15.84	0.5
-15.86	0.5
-15.88	0.5
-15.90	0.5
-15.93	0.5
-15.95	0.5
-15.98	0.5
-16.01	0.5
-16.04	0.5
-16.06	0.5
-16.08	0.5
-16.10	0.5
-16.11	0.5
-16.12	0.5
-16.13	0.5
-16.14	0.5
-16.16	0.5
-16.18	0.5
-16.20	0.5
-16.21	0.5
-16.23	0.5
-16.25	0.5
-16.27	0.5
-16.28	0.5
-16.28	0.5
-16.28	0.5
-16.28	0.5
-16.28	0.5
-16.29	0.5
-16.29	0.5
-16.29	0.5
-16.30	0.5
-16.31	0.5
-16.33	0.5
-16.34	0.5
-16.35	0.5
-16.36	0.5
-16.37	0.5
-16.38	0.5
-16.40	0.5
-16.41	0.5
-16.43	0.5
-16.45	0.5
-16.46	0.5
-16.48	0.5
-16.49	0.5
-16.51	0.5
-16.52	0.5
-16.54	0.5
-16.55	0.5
-16.57	0.5
-16.57	0.5
-16.58	0.5
-16.59	0.5
-16.59	0.5
-16.61	0.5
-16.62	0.5
-16.63	0.5
-16.65	0.5
-16.67	0.5
-16.69	0.5
-16.72	0.5
-16.74	0.5
-16.76	0.5
-16.78	0.5
-16.80	0.5
-16.82	0.5
-16.83	0.5
-16.85	0.5
-16.87	0.5
-16.90	0.5
-16.93	0.5
-16.96	0.5
-16.99	0.5
-17.02	0.5
-17.05	0.5
-17.08	0.5
-17.11	0.5
-17.13	0.5
-17.15	0.5
-17.18	0.5
-17.20	0.5
-17.23	0.5
-17.25	0.6
-17.28	0.5
-17.31	0.5
-17.34	0.5
-17.37	0.6
-17.41	0.6
-17.44	0.6
-17.47	0.6
-17.50	0.6
-17.53	0.6
-17.55	0.6
-17.58	0.6
-17.61	0.6
-17.63	0.6
-17.66	0.6
-17.69	0.6
-17.72	0.6
-17.74	0.6
-17.77	0.6
-17.79	0.6
-17.81	0.6
-17.84	0.6
-17.86	0.6
-17.89	0.6
-17.92	0.6
-17.94	0.6
-17.97	0.6
-17.99	0.6
-18.02	0.6
-18.04	0.6
-18.07	0.6
-18.10	0.6
-18.13	0.6
-18.16	0.6
-18.19	0.6
-18.23	0.6
-18.26	0.6
-18.30	0.6
-18.33	0.6
-18.36	0.6
-18.38	0.6
-18.39	0.6
-18.41	0.6
-18.42	0.6
-18.44	0.6
-18.47	0.6
-18.49	0.6
-18.52	0.6
-18.55	0.6
-18.58	0.5
-18.61	0.5
-18.64	0.5
-18.67	0.5
-18.69	0.5
-18.72	0.5
-18.74	0.5
-18.77	0.5
-18.79	0.5
-18.80	0.5
-18.82	0.5
-18.82	0.5
-18.82	0.5
-18.82	0.5
-18.82	0.5
-18.82	0.5
-18.83	0.5
-18.84	0.5
-18.87	0.5
-18.90	0.5
-18.93	0.5
-18.97	0.5
-19.01	0.5
-19.06	0.5
-19.10	0.5
-19.13	0.5
-19.17	0.5
-19.20	0.5
-19.24	0.5
-19.27	0.5
-19.30	0.5
-19.34	0.5
-19.37	0.5
-19.40	0.5
-19.43	0.5
-19.46	0.5
-19.49	0.5
-19.51	0.5
-19.52	0.5
-19.54	0.5
-19.56	0.5
-19.58	0.5
-19.60	0.5
-19.62	0.5
-19.65	0.5
-19.67	0.5
-19.70	0.6
-19.72	0.6
-19.75	0.6
-19.77	0.6
-19.80	0.6
-19.83	0.6
-19.86	0.6
-19.89	0.6
-19.92	0.6
-19.96	0.6
-19.99	0.6
-20.02	0.7
-20.06	0.7
-20.09	0.7
-20.13	0.7
-20.17	0.7
-20.22	0.7
-20.26	0.7
-20.31	0.7
-20.35	0.7
-20.39	0.7
-20.42	0.7
-20.45	0.7
-20.47	0.7
-20.49	0.7
-20.51	0.7
-20.53	0.7
-20.55	0.7
-20.57	0.7
-20.60	0.7
-20.62	0.7
-20.65	0.7
-20.67	0.7
-20.69	0.7
-20.72	0.7
-20.74	0.7
-20.76	0.7
-20.79	0.7
-20.82	0.7
-20.84	0.7
-20.88	0.6
-20.91	0.6
